,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
255,Muzaffargarh,PK,75.22,30.0754,71.1921,clear sky,NewAghosh hotel and restaurant
260,Bere,TD,73.47,9.3202,16.1552,overcast clouds,Hôtel de la ville de béré.
264,Kattivakkam,IN,77.09,13.2167,80.3167,heavy intensity rain,Euronova Freezer
266,Kaduqli,SD,71.76,11.0167,29.7167,overcast clouds,Nussyba
268,Bosaso,SO,83.57,11.2842,49.1816,scattered clouds,Red Sea Hotel
269,Sabha,LY,71.17,27.0377,14.4283,clear sky,محطة ام الارانب -سبها مواصلات
274,Riyadh,SA,75.34,24.6877,46.7219,clear sky,"InterContinental Riyadh, an IHG Hotel"
278,Dehloran,IR,86.83,32.6941,47.2679,clear sky,کافه گیم استورم
282,Nagod,IN,75.16,24.5667,80.6,overcast clouds,Aman kirna stor
290,Abdanan,IR,73.45,32.9926,47.4198,clear sky,خدمات موبایل میرزایی
292,Diu,IN,77.45,20.7141,70.9822,broken clouds,Hotel Relax Inn
300,Yarada,IN,77.32,17.65,83.2667,overcast clouds,Yarada Jungle Beach Resorts
301,Mandalgarh,IN,76.78,25.2,75.1,overcast clouds,दुर्गा टेंट हाऊस
307,Tando Ghulam Ali,PK,79.54,25.1311,68.8676,clear sky,Sakoon Hotel
308,Buraydah,SA,77.49,26.326,43.975,clear sky,Mövenpick Qassim
310,Ormara,PK,78.13,25.2088,64.6357,clear sky,Kenara Colony House for Rent
311,Daura,NG,78.17,11.5538,11.4085,broken clouds,
313,Mahibadhoo,MV,80.87,3.7833,72.9667,overcast clouds,Omadhoo Inn
316,Wad Madani,SD,81.63,14.4012,33.5199,scattered clouds,فندق يوغسلافيا
318,Balad,IQ,83.08,34.0164,44.1453,clear sky,رضاوي زنوبة
321,Winneba,GH,75.25,5.3511,-0.6231,scattered clouds,Windy Lodge & Beach Resort
323,Kudahuvadhoo,MV,81.07,2.6708,72.8944,overcast clouds,Niyama Private Islands Maldives
324,Gat,IL,72.81,31.61,34.7642,clear sky,OlusHome
326,Malakal,SS,70.14,9.5334,31.6605,overcast clouds,Nile Palace Hotel
327,Sohag,EG,78.42,26.557,31.6948,clear sky,Civil Registry - Sohag 1
331,Bongandanga,CD,70.39,1.5,21.05,overcast clouds,
336,Adana,TR,73.42,36.985,35.2881,few clouds,ibis Adana
339,Wattegama,LK,73.71,6.7989,81.4808,overcast clouds,
