,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
339,Wattegama,LK,6.7989,81.4808,73.71,86,100,5.12,overcast clouds
340,Bondo,CD,3.8146,23.6866,68.18,99,91,1.59,light rain
341,Anupshahr,IN,28.3667,78.2667,72.52,93,41,6.26,scattered clouds
342,Korem,ET,12.5058,39.5228,54.68,71,48,2.06,scattered clouds
343,Narimanov,RU,46.6927,47.8498,58.95,74,100,16.58,overcast clouds
344,Kusti,SD,13.1629,32.6635,80.2,57,64,5.97,broken clouds
345,Svetlogorsk,BY,52.6333,29.7333,47.55,93,100,7.45,overcast clouds
346,Kholmy,UA,51.871,32.6006,46.63,94,100,6.8,overcast clouds
347,Verkhnedneprovskiy,RU,54.9813,33.3457,45.88,97,100,7.18,overcast clouds
348,Kathmandu,NP,27.7167,85.3167,66.42,100,75,2.3,broken clouds
349,Faisalabad,PK,31.4167,73.0833,76.17,32,0,7.78,clear sky
350,Banda Aceh,ID,5.5577,95.3222,77.67,83,100,10.87,overcast clouds
